Meta,ID,Owner,Deck,Played,Wins,Elo,Active
BMT,865f9b45bee51a0633ed4fcb47883330e5e307cd95556398b051dcebb54d61a5,BeeptheBoy,Dino Time,6,0,892.6458074,1
BMT,956b96c4e3f4024fce5fb58d682f2611b69eae3a77409b5ce8b030ebd9ce1ab3,crazykid,Arcades Defenders,2,0,965.2181096,1
BMT,4146167fefc2640ddcc32daca71abfe20116d1ceafdc8b4fe84f7fef9954c4cd,crazykid,Bristly Bill,3,0,940.9038557,1
BMT,e6743dd7c6d5493d922abb339c06f48b6cb0db235147f0db85ed022431533447,crazykid,"Elsha, Threefold Master",3,0,946.3191165,1
BMT,78294891f2e6e205561503cef06be3c1d711776aae5bb3b80e1e7f216980da96,crazykid,"Karumonix, the Rat King",2,1,1013.929257,1
BMT,26ac243f7c007a91a14985c847463f23199d563bc4fc3cd30f33dfabc7a7cd43,crazykid,"Satya, Aetherflux Genius",2,0,961.082516,1
BMT,22cf2a9f55ab23da0c4acca07eb5e7a5c810fae39c8d225917c1abfd158ef984,crazykid,SpongeBob The Unifier,7,1,962.6861098,1
BMT,f8272a7da8bd1fac5edf8dda9f497d9e92f6680acebe2f3936a30e265bf2a7d5,crazykid,SpongeBob's Group Hug!!!,1,1,1061.839286,1
BMT,34f29a97f1efabd23697391cc4c556389d37f904754031d74664546d3e72cc41,crazykid,Temmet Zombies,1,0,979.6715464,1
BMT,e33fad203941b3d6535e4645a3facce93587e71dff193dfdd27879b101b4551d,crazykid,The Thirteenth Doctor,2,1,1021.594921,1
BMT,935591cb842d82e98c8d92e2b5ee08e1aa33ed90e99eace503ac7aedfa2a5e96,crazykid,"Ulalek, Fused Atrocity",1,0,985.5549352,1
BMT,7fed87059a042ce724b2ddba84946b4fe09b6569c789f8d798df4e7fbf9ab031,crazykid,Valgavoth - Pain is Gain,1,0,979.844727,1
BMT,1fcc29521c0b80f986131385b956a9a03471a34e37bb0392135f47918bfa0a57,Deniedpluto,+1 For Counters,12,8,1201.75761680125,1
BMT,6fe0b46a4dccf3d9d24863ffb21bc08e1cc0334fdc61476295792ed132854e0c,Deniedpluto,Aces Wild,9,5,1099.886547,1
BMT,a31c51ad4afc7d15b9b32af61f011e11caba3ee98781749f238d1a9c12a20f43,Deniedpluto,Baba Lysaga and the Sac Attack,16,9,1099.150159,1
BMT,0ab149c93cc2d00af09331fa2fdff77d491e2db61fc589ecb8101a96c624511c,Deniedpluto,"Bears, Beasts, Battle-Scarred Ayula Cubs",6,1,945.0487606,0
BMT,7b9ad1f250d0b06eb04d46b286a7b941c680ac70b74ceb79f7189835b1ca2ab7,Deniedpluto,Challenge Deck,5,1,933.9239804,0
BMT,5e12738b89a4209635fae7134530d14c7d27ff00e5d5b6261b6980f65cd88988,Deniedpluto,Deadly Overgrowth,15,5,1009.62009765915,1
BMT,8cc78727cf8b3f78bd25fd485e6d9086c6a8cdd1e0949a553c5e8a7ebad7fa44,Deniedpluto,Dongers Up!,5,2,1000.467825,1
BMT,01a8d04d84bd301caebd0fef082c8f85bff44eaab622a05cd12ea6a36c9e80ab,Deniedpluto,Don't Blink (or do),7,5,1131.38569870093,1
BMT,3fe1000e644cfb25426efce2bec80543643a73946d4efdfc59fcb2bc19fc5dd2,Deniedpluto,Draw Go Drakes,7,4,1084.348232,0
