Winner,Loser,Start Deck,Date
Izzet Spellslinger,Azorius Control,Winner,2021-10-14T23:00:26.572629Z
Golgari Dungeon,Golgari Death,Winner,2021-10-14T23:53:27.324518Z
Rakdos Treasure,Golgari Death,Winner,2021-10-15T00:30:44.581298Z
Simic Volo,Golgari Death,Winner,2021-10-15T00:52:00.107072Z
Dimir Rogues,Selesnya Lifegain,Winner,2021-10-15T04:16:50.519025Z
Dimir Rogues,Selesnya Lifegain,Loser,2021-10-15T04:39:18.644117Z
Boros Equipment,Golgari Death,Winner,2021-10-15T04:53:02.099160Z
Selesnya Lifegain,Golgari Death,Winner,2021-10-15T05:06:53.426027Z
Dimir Rogues,Golgari Death,Loser,2021-10-15T05:38:53.959052Z
Azorius Control,Golgari Death,Loser,2021-10-15T15:56:59.322646Z
Gruul Overrun,Golgari Dungeon,Winner,2021-10-16T15:14:14.802908Z
Simic Volo,Azorius Control,Loser,2021-10-16T15:33:55.887769Z
Golgari Dungeon,Boros Equipment,Winner,2021-10-16T15:58:58.394747Z
Gruul Overrun,Black Vampires,Winner,2021-10-16T22:05:01.833572Z
Black Vampires,Simic Volo,Loser,2021-10-16T22:41:23.543023Z
Gruul Overrun,Azorius Control,Loser,2021-10-17T05:07:19.360010Z
Simic Volo,Boros Equipment,Winner,2021-10-17T05:24:54.858113Z
Selesnya Lifegain,Golgari Dungeon,Winner,2021-10-17T05:46:11.846585Z
Orzhov Dungeon,Azorius Control,Loser,2021-10-17T06:04:46.403441Z
Black Vampires,Selesnya Lifegain,Loser,2021-10-17T06:27:33.259809Z
Selesnya Lifegain,Black Vampires,Winner,2021-10-17T07:21:10.447362Z
Boros Equipment,Dimir Rogues,Winner,2021-10-17T17:18:55.617188Z
Rakdos Treasure,Golgari Dungeon,Loser,2021-10-17T17:50:23.629944Z
Golgari Death,Gruul Overrun,Winner,2021-10-24T02:25:53.391631Z
Gruul Overrun,Orzhov Dungeon,Winner,2021-10-25T17:19:52.353740Z
